offset,Chord,NormalForm,PCsinNormalForm,Measure Number,Measure Beat
80.0,<music21.chord.Chord D5 F5 B4>,"[0, 3, 6]","[11, 2, 5]",33,1
80.5,<music21.chord.Chord C#5 F#5 A4>,"[0, 3, 7]","[6, 9, 1]",33,2
81.25,<music21.chord.Chord D5 G#5 F4>,"[0, 3, 6]","[2, 5, 8]",33,3
81.5,<music21.chord.Chord C#5 A5 F#4>,"[0, 3, 7]","[6, 9, 1]",33,4
82.5,<music21.chord.Chord E-5 F#5 A4 B3>,"[0, 3, 6, 8]","[3, 6, 9, 11]",34,1
83.0,<music21.chord.Chord E-5 A5 C#5 B3>,"[0, 2, 4, 6]","[9, 11, 1, 3]",34,2
83.66666666666670,<music21.chord.Chord B3>,[0],[11],34,3
83.75,<music21.chord.Chord E-5 G#5 B4 B3>,"[0, 3, 7]","[8, 11, 3]",34,3
83.875,<music21.chord.Chord E-5 G#5 B4>,"[0, 3, 7]","[8, 11, 3]",34,3
84.0,<music21.chord.Chord B4 E5 G#4 E4>,"[0, 4, 7]","[4, 8, 11]",34,4
85.0,<music21.chord.Chord B3>,[0],[11],35,1
85.125,<music21.chord.Chord C#4>,[0],[1],35,1
85.33333333333330,<music21.chord.Chord B3>,[0],[11],35,1
85.5,<music21.chord.Chord E-4 F#4 B4 E-5 B-3>,"[0, 1, 5, 8]","[10, 11, 3, 6]",35,2
86.16666666666670,<music21.chord.Chord E-4 F#4 B4 E-5>,"[0, 4, 7]","[11, 3, 6]",35,3
86.25,<music21.chord.Chord E-4 F#4 B4 E-5 G#3>,"[0, 3, 5, 8]","[3, 6, 8, 11]",35,3
86.5,<music21.chord.Chord E-4 F#4 B4 E-5 B-3>,"[0, 1, 5, 8]","[10, 11, 3, 6]",35,4
87.16666666666670,<music21.chord.Chord E-4 F#4 B4 E-5>,"[0, 4, 7]","[11, 3, 6]",35,5
87.25,<music21.chord.Chord E-4 F#4 B4 E-5 F#3>,"[0, 4, 7]","[11, 3, 6]",35,5
87.5,<music21.chord.Chord G#3>,[0],[8],36,1
87.66666666666670,<music21.chord.Chord B-3>,[0],[10],36,1
87.875,<music21.chord.Chord G#3>,[0],[8],36,1
88.0,<music21.chord.Chord E-4 F#4 B4 E-5 F#3>,"[0, 4, 7]","[11, 3, 6]",36,2
88.66666666666670,<music21.chord.Chord E-4 F#4 B4 E-5>,"[0, 4, 7]","[11, 3, 6]",36,3
88.75,<music21.chord.Chord E-4 F#4 B4 E-5 G#3>,"[0, 3, 5, 8]","[3, 6, 8, 11]",36,3
89.0,<music21.chord.Chord E-4 F#4 B4 E-5 B-3>,"[0, 1, 5, 8]","[10, 11, 3, 6]",36,4
89.66666666666670,<music21.chord.Chord E-4 F#4 B4 E-5>,"[0, 4, 7]","[11, 3, 6]",36,5
89.75,<music21.chord.Chord E-4 F#4 B4 E-5 B3>,"[0, 4, 7]","[11, 3, 6]",36,5
90.0,<music21.chord.Chord B-3>,[0],[10],37,1
90.125,<music21.chord.Chord B3>,[0],[11],37,1
90.33333333333330,<music21.chord.Chord B-3>,[0],[10],37,1
90.5,<music21.chord.Chord E-4 F#4 B4 E-5 G#3>,"[0, 3, 5, 8]","[3, 6, 8, 11]",37,2
91.16666666666670,<music21.chord.Chord E-4 F#4 B4 E-5>,"[0, 4, 7]","[11, 3, 6]",37,3
91.25,<music21.chord.Chord E-4 F#4 B4 E-5 F#3>,"[0, 4, 7]","[11, 3, 6]",37,3
91.5,<music21.chord.Chord E-4 F#4 B4 E-5 G#3>,"[0, 3, 5, 8]","[3, 6, 8, 11]",37,4
92.16666666666670,<music21.chord.Chord E-4 F#4 B4 E-5>,"[0, 4, 7]","[11, 3, 6]",37,5
92.25,<music21.chord.Chord E-4 F#4 B4 E-5 B-3>,"[0, 1, 5, 8]","[10, 11, 3, 6]",37,5
92.5,<music21.chord.Chord F#3>,[0],[6],38,1
93.0,<music21.chord.Chord D4 F#3>,"[0, 4]","[2, 6]",38,2
93.66666666666670,<music21.chord.Chord F#3>,[0],[6],38,3
