offset,Chord,NormalForm,PCsinNormalForm,file,Composer,MeasureNumber,MeasureCount
55.5,<music21.chord.Chord D5 D4 F#5>,"[0, 4]","[2, 6]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,18,2.0
56.25,<music21.chord.Chord E5 D5 D4>,"[0, 2]","[2, 4]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,18,2.50
56.5,<music21.chord.Chord D4 D5>,[0],[2],Les Cinq Doigts Larghetto C major.mid,Stravinsky,18,2.7
57,<music21.chord.Chord G4 B4 G5>,"[0, 4]","[7, 11]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,19,1
58,<music21.chord.Chord G4 B4 D5 G5>,"[0, 4, 7]","[7, 11, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,19,1.66666666666667
58.5,<music21.chord.Chord D5 A5 F4 A4>,"[0, 3, 7]","[2, 5, 9]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,19,2.0
59.5,<music21.chord.Chord D5 A5 F4 A4>,"[0, 3, 7]","[2, 5, 9]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,19,2.7
60,<music21.chord.Chord A5 G4 D5>,"[0, 2, 7]","[7, 9, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,20,1
60.75,<music21.chord.Chord A4 A5 D5>,"[0, 5]","[9, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,20,1.50
61,<music21.chord.Chord G4 E5 A5>,"[0, 3, 5]","[4, 7, 9]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,20,1.66666666666667
61.5,<music21.chord.Chord A5 F#4 F#5>,"[0, 3]","[6, 9]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,20,2.0
62.25,<music21.chord.Chord G4 A5 F#5>,"[0, 1, 3]","[6, 7, 9]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,20,2.50
62.5,<music21.chord.Chord A4 E5 A5>,"[0, 5]","[4, 9]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,20,2.7
63,<music21.chord.Chord A5 B4 D5>,"[0, 2, 5]","[9, 11, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,21,1
63.75,<music21.chord.Chord A4 E5 A5>,"[0, 5]","[4, 9]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,21,1.50
64,<music21.chord.Chord F#4 F#5 A5>,"[0, 3]","[6, 9]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,21,1.66666666666667
64.5,<music21.chord.Chord A5 A4 E5>,"[0, 5]","[4, 9]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,21,2.0
65.25,<music21.chord.Chord B4 D5 A5>,"[0, 2, 5]","[9, 11, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,21,2.50
65.5,<music21.chord.Chord A4 E5 A5>,"[0, 5]","[4, 9]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,21,2.7
66,<music21.chord.Chord A5 F#4 B4 F#5>,"[0, 3, 5]","[6, 9, 11]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,22,1
66.75,<music21.chord.Chord G5 A5 F#4 B4>,"[0, 1, 3, 5]","[6, 7, 9, 11]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,22,1.50
67,<music21.chord.Chord F#4 B4 F#5 A5>,"[0, 3, 5]","[6, 9, 11]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,22,1.66666666666667
67.5,<music21.chord.Chord A5 E4 B4 F#5>,"[0, 2, 5, 7]","[4, 6, 9, 11]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,22,2.0
68.25,<music21.chord.Chord G5 A5 E4 B4>,"[0, 3, 5, 7]","[4, 7, 9, 11]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,22,2.50
68.5,<music21.chord.Chord E4 B4 F#5 A5>,"[0, 2, 5, 7]","[4, 6, 9, 11]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,22,2.7
69,<music21.chord.Chord A5 B4 D4 F#5>,"[0, 3, 5, 8]","[6, 9, 11, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,23,1
69.75,<music21.chord.Chord G5 A5 B4 D4>,"[0, 2, 4, 7]","[7, 9, 11, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,23,1.50
70,<music21.chord.Chord F#5 D4 A5>,"[0, 4, 7]","[2, 6, 9]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,23,1.66666666666667
70.5,<music21.chord.Chord A5 D4 B4 E5>,"[0, 2, 5, 7]","[9, 11, 2, 4]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,23,2.0
71.25,<music21.chord.Chord F#5 A5 D4 B4>,"[0, 3, 5, 8]","[6, 9, 11, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,23,2.50
71.5,<music21.chord.Chord D4 B4 E5 A5>,"[0, 2, 5, 7]","[9, 11, 2, 4]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,23,2.7
72,<music21.chord.Chord A5 B4 F#5 C4>,"[0, 3, 5, 6]","[6, 9, 11, 0]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,24,1
73,<music21.chord.Chord C4 B4 D5 A5>,"[0, 2, 3, 5]","[9, 11, 0, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,24,1.66666666666667
73.5,<music21.chord.Chord A5 B4 C4 E5>,"[0, 2, 3, 7]","[9, 11, 0, 4]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,24,2.0
74.25,<music21.chord.Chord F#5 A5 B4 C4>,"[0, 3, 5, 6]","[6, 9, 11, 0]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,24,2.50
74.5,<music21.chord.Chord C4 B4 D5 A5>,"[0, 2, 3, 5]","[9, 11, 0, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,24,2.7
75,<music21.chord.Chord A5 D4 B4 E5>,"[0, 2, 5, 7]","[9, 11, 2, 4]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,25,1
75.75,<music21.chord.Chord F#5 A5 D4 B4>,"[0, 3, 5, 8]","[6, 9, 11, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,25,1.50
76,<music21.chord.Chord G5 D4 A5>,"[0, 2, 7]","[7, 9, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,25,1.66666666666667
76.5,<music21.chord.Chord A5 D4 B4>,"[0, 2, 5]","[9, 11, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,25,2.0
77.25,<music21.chord.Chord G5 A5 D4 B4>,"[0, 2, 4, 7]","[7, 9, 11, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,25,2.50
77.5,<music21.chord.Chord F#5 D4 A5>,"[0, 4, 7]","[2, 6, 9]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,25,2.7
78,<music21.chord.Chord A5 B4 D4 G5>,"[0, 2, 4, 7]","[7, 9, 11, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,26,1
78.75,<music21.chord.Chord E5 A5 B4 D4>,"[0, 2, 5, 7]","[9, 11, 2, 4]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,26,1.50
79,<music21.chord.Chord B4 F#5 D4 A5>,"[0, 3, 5, 8]","[6, 9, 11, 2]",Les Cinq Doigts Larghetto C major.mid,Stravinsky,26,1.66666666666667
