offset,Chord,NormalForm,PCsinNormalForm,file,Measure Number,Measure Count
45.5,<music21.chord.Chord D#3 G#5>,"[0, 5]","[3, 8]",AlariodelRio_Sol_Sostenido.xml,8,2 3/4
46,<music21.chord.Chord A#3 G#5>,"[0, 2]","[8, 10]",AlariodelRio_Sol_Sostenido.xml,8,3
46.5,<music21.chord.Chord A#2 G#5>,"[0, 2]","[8, 10]",AlariodelRio_Sol_Sostenido.xml,8,3 1/4
47,<music21.chord.Chord G#2 G#5>,[0],[8],AlariodelRio_Sol_Sostenido.xml,8,3 1/2
47.5,<music21.chord.Chord B2 G#5>,"[0, 3]","[8, 11]",AlariodelRio_Sol_Sostenido.xml,8,3 3/4
48,<music21.chord.Chord G#3 G#5>,[0],[8],AlariodelRio_Sol_Sostenido.xml,9,1
48.5,<music21.chord.Chord G#2 G#5>,[0],[8],AlariodelRio_Sol_Sostenido.xml,9,1 1/4
49,<music21.chord.Chord F#3 G#5>,"[0, 2]","[6, 8]",AlariodelRio_Sol_Sostenido.xml,9,1 1/2
49.5,<music21.chord.Chord B2 G#5>,"[0, 3]","[8, 11]",AlariodelRio_Sol_Sostenido.xml,9,1 3/4
50,<music21.chord.Chord G#5>,[0],[8],AlariodelRio_Sol_Sostenido.xml,9,2
51,<music21.chord.Chord G#5>,[0],[8],AlariodelRio_Sol_Sostenido.xml,9,2 1/2
52,<music21.chord.Chord F#3 G#5>,"[0, 2]","[6, 8]",AlariodelRio_Sol_Sostenido.xml,9,3
52.5,<music21.chord.Chord G#2 G#5>,[0],[8],AlariodelRio_Sol_Sostenido.xml,9,3 1/4
53,<music21.chord.Chord C#3 G#5>,"[0, -7]","[8, 1]",AlariodelRio_Sol_Sostenido.xml,9,3 1/2
53.5,<music21.chord.Chord B2 G#5>,"[0, 3]","[8, 11]",AlariodelRio_Sol_Sostenido.xml,9,3 3/4
54,<music21.chord.Chord D#3 G#5>,"[0, 5]","[3, 8]",AlariodelRio_Sol_Sostenido.xml,10,1
54.5,<music21.chord.Chord D#3 G#5>,"[0, 5]","[3, 8]",AlariodelRio_Sol_Sostenido.xml,10,1 1/4
55,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,10,1 1/2
55.5,<music21.chord.Chord A#2>,[0],[10],AlariodelRio_Sol_Sostenido.xml,10,1 3/4
56,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,10,2
56.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,10,2 1/4
60,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,11,1
60.5,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,11,1 1/4
61,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,11,1 1/2
63.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,11,2 3/4
64,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,11,3
64.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,11,3 1/4
65,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,11,3 1/2
65.5,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,11,3 3/4
66,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,12,1
68.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,12,2 1/4
69,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,12,2 1/2
69.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,12,2 3/4
70,<music21.chord.Chord D#3>,[0],[3],AlariodelRio_Sol_Sostenido.xml,12,3
70.5,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,12,3 1/4
71,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,12,3 1/2
73.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,13,1 3/4
74,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,13,2
74.5,<music21.chord.Chord F#3>,[0],[6],AlariodelRio_Sol_Sostenido.xml,13,2 1/4
75,<music21.chord.Chord D#3 D#5>,[0],[3],AlariodelRio_Sol_Sostenido.xml,13,2 1/2
75.5,<music21.chord.Chord D#3 D#5>,[0],[3],AlariodelRio_Sol_Sostenido.xml,13,2 3/4
76,<music21.chord.Chord B2 D#5>,"[0, -8]","[11, 3]",AlariodelRio_Sol_Sostenido.xml,13,3
76.5,<music21.chord.Chord A#2 D#5>,"[0, -7]","[10, 3]",AlariodelRio_Sol_Sostenido.xml,13,3 1/4
77,<music21.chord.Chord F#3 D#5>,"[0, 3]","[3, 6]",AlariodelRio_Sol_Sostenido.xml,13,3 1/2
77.5,<music21.chord.Chord E3 D#5>,"[0, 1]","[3, 4]",AlariodelRio_Sol_Sostenido.xml,13,3 3/4
78,<music21.chord.Chord D#5>,[0],[3],AlariodelRio_Sol_Sostenido.xml,14,1
79,<music21.chord.Chord D#5>,[0],[3],AlariodelRio_Sol_Sostenido.xml,14,1 1/2
80,<music21.chord.Chord F#3 D#5>,"[0, 3]","[3, 6]",AlariodelRio_Sol_Sostenido.xml,14,2
80.5,<music21.chord.Chord G#2 D#5>,"[0, 5]","[3, 8]",AlariodelRio_Sol_Sostenido.xml,14,2 1/4
81,<music21.chord.Chord C#3 D#5>,"[0, 2]","[1, 3]",AlariodelRio_Sol_Sostenido.xml,14,2 1/2
81.5,<music21.chord.Chord B2 D#5>,"[0, -8]","[11, 3]",AlariodelRio_Sol_Sostenido.xml,14,2 3/4
82,<music21.chord.Chord G#2 D#5>,"[0, 5]","[3, 8]",AlariodelRio_Sol_Sostenido.xml,14,3
82.5,<music21.chord.Chord B2 D#5>,"[0, -8]","[11, 3]",AlariodelRio_Sol_Sostenido.xml,14,3 1/4
83,<music21.chord.Chord G#3 D#5>,"[0, 5]","[3, 8]",AlariodelRio_Sol_Sostenido.xml,14,3 1/2
83.5,<music21.chord.Chord G#2 D#5>,"[0, 5]","[3, 8]",AlariodelRio_Sol_Sostenido.xml,14,3 3/4
