offset,Chord,NormalForm,PCsinNormalForm,file,Composer,MeasureNumber,MeasureCount
139.125,<music21.chord.Chord A3>,[0],[9],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
139.5,<music21.chord.Chord G#3 A3>,"[0, 1]","[8, 9]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
139.625,<music21.chord.Chord G#3>,[0],[8],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
140.0,<music21.chord.Chord E-4 A4 C#5 F#3>,"[0, 2, 5, 8]","[1, 3, 6, 9]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
140.25,<music21.chord.Chord F#3>,[0],[6],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
141.0,<music21.chord.Chord E-4 A4 C#5 F#3>,"[0, 2, 5, 8]","[1, 3, 6, 9]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
141.25,<music21.chord.Chord F#3>,[0],[6],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
141.5,<music21.chord.Chord F3>,[0],[5],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
142.0,<music21.chord.Chord E-4 A4 C#5 E-3>,"[0, 4, 6]","[9, 1, 3]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
142.25,<music21.chord.Chord E-3>,[0],[3],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
143.0,<music21.chord.Chord E-4 A4 C#5 E-3>,"[0, 4, 6]","[9, 1, 3]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
143.125,<music21.chord.Chord E-3>,[0],[3],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
143.5,<music21.chord.Chord C#3>,[0],[1],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
144.0,<music21.chord.Chord E-4 A4 C#5 C3>,"[0, 3, 4, 6]","[9, 0, 1, 3]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
144.25,<music21.chord.Chord C3>,[0],[0],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
145.0,<music21.chord.Chord E-4 A4 C#5 C3>,"[0, 3, 4, 6]","[9, 0, 1, 3]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
145.5,<music21.chord.Chord C#3>,[0],[1],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
146.0,<music21.chord.Chord E-4 A4 C#5 E-3>,"[0, 4, 6]","[9, 1, 3]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
146.5,<music21.chord.Chord E-3>,[0],[3],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
147.0,<music21.chord.Chord E-4 A4 C#5 E-3>,"[0, 4, 6]","[9, 1, 3]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
147.375,<music21.chord.Chord E-3>,[0],[3],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
147.5,<music21.chord.Chord F3>,[0],[5],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
148.0,<music21.chord.Chord E-4 A4 C#5 F#3>,"[0, 2, 5, 8]","[1, 3, 6, 9]",Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
148.375,<music21.chord.Chord F#3>,[0],[6],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
148.5,<music21.chord.Chord G#3>,[0],[8],Album for Children 4 Cumpleanos E major.mid,Khachatruian,,
