offset,Chord,NormalForm,PCsinNormalForm,file,Composer,MeasureNumber,MeasureCount
90,<music21.chord.Chord B5 D4>,"[0, 3]","[11, 2]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,46,1
90.5,<music21.chord.Chord D5 B5 D4>,"[0, 3]","[11, 2]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,46,1.5
91,<music21.chord.Chord E4 B5 D5>,"[0, 3, 5]","[11, 2, 4]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,46,2
91.5,<music21.chord.Chord E6 E4 D5>,"[0, 2]","[2, 4]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,46,2.5
92,<music21.chord.Chord D6 E5 F4>,"[0, 2, 3]","[2, 4, 5]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,47,1
93,<music21.chord.Chord C#6 E5 F4>,"[0, 3, 4]","[1, 4, 5]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,47,2
93.5,<music21.chord.Chord F#5 C#6 F4>,"[0, 4, 5]","[1, 5, 6]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,47,2.5
94,<music21.chord.Chord F#4 F#5>,[0],[6],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,48,1
94.5,<music21.chord.Chord F6 F#4 F#5>,"[0, 1]","[5, 6]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,48,1.5
95,<music21.chord.Chord G#5 F6>,"[0, 3]","[5, 8]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,48,2
96,<music21.chord.Chord B-5 B5>,"[0, 1]","[10, 11]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,49,1
96.5,<music21.chord.Chord A4 B-5 B5>,"[0, 1, 2]","[9, 10, 11]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,49,1.5
98,<music21.chord.Chord C6 D4>,"[0, 2]","[0, 2]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,50,1
99.5,<music21.chord.Chord E4>,[0],[4],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,50,2.5
100,<music21.chord.Chord B-5 F#4>,"[0, 4]","[6, 10]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,51,1
101,<music21.chord.Chord C#6 B-5 F#4>,"[0, 4, 7]","[6, 10, 1]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,51,2
101.5,<music21.chord.Chord B4 B-5 C#6>,"[0, 1, 3]","[10, 11, 1]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,51,2.5
102,<music21.chord.Chord F5 A4>,"[0, 4]","[5, 9]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,52,1
102.5,<music21.chord.Chord C6 A4>,"[0, 3]","[9, 0]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,52,1.5
103,<music21.chord.Chord F5 G#4>,"[0, 3]","[5, 8]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,52,2
103.5,<music21.chord.Chord G#4>,[0],[8],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,52,2.5
104,<music21.chord.Chord F#5>,[0],[6],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,53,1
104.5,<music21.chord.Chord C5 F#5>,"[0, 6]","[0, 6]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,53,1.5
105.5,<music21.chord.Chord C#6 C5>,"[0, 1]","[0, 1]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,53,2.5
106,<music21.chord.Chord C6 B4>,"[0, 1]","[11, 0]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,54,1
106.5,<music21.chord.Chord B4>,[0],[11],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,54,1.5
109,<music21.chord.Chord B5>,[0],[11],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,55,2
111,<music21.chord.Chord G#4>,[0],[8],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,56,2
112,<music21.chord.Chord G4 E-5>,"[0, 4]","[3, 7]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,57,1
113,<music21.chord.Chord F5>,[0],[5],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,57,2
114,<music21.chord.Chord F#5>,[0],[6],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,58,1
116,<music21.chord.Chord G5>,[0],[7],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,59,1
118.5,<music21.chord.Chord B-5>,[0],[10],Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,60,1.5
124,<music21.chord.Chord D4 F#4 C#3>,"[0, 1, 5]","[1, 2, 6]",Aphorisms 8 Canon Op13No8 D minor.mid,Shostakovich,63,1
