offset,Chord,NormalForm,PCsInNormalForm,file,Composer,measureNumber,beatNumber
37.875,<music21.chord.Chord D3 G3 D4>,"[0, 5]","[2, 7]",Takemitsu_Romance.mxl,Takemitsu,26,1 3/4
38.0,<music21.chord.Chord D3 G3 A3>,"[0, 2, 7]","[7, 9, 2]",Takemitsu_Romance.mxl,Takemitsu,26,2
38.5,<music21.chord.Chord D3 G3 A3>,"[0, 2, 7]","[7, 9, 2]",Takemitsu_Romance.mxl,Takemitsu,26,3
39.0,<music21.chord.Chord G2 E-3 B-3>,"[0, 4, 7]","[3, 7, 10]",Takemitsu_Romance.mxl,Takemitsu,27,1
39.5,<music21.chord.Chord G2 E-3 C4>,"[0, 3, 7]","[0, 3, 7]",Takemitsu_Romance.mxl,Takemitsu,27,2
40.5,<music21.chord.Chord G2 E-3 C4>,"[0, 3, 7]","[0, 3, 7]",Takemitsu_Romance.mxl,Takemitsu,28,1
40.75,<music21.chord.Chord G2 E-3 G3>,"[0, 4]","[3, 7]",Takemitsu_Romance.mxl,Takemitsu,28,1 1/2
41.0,<music21.chord.Chord D3 E-3 A3>,"[0, 5, 6]","[9, 2, 3]",Takemitsu_Romance.mxl,Takemitsu,28,2
41.5,<music21.chord.Chord D3 E-3 G3>,"[0, 1, 5]","[2, 3, 7]",Takemitsu_Romance.mxl,Takemitsu,28,3
42.0,<music21.chord.Chord D3 E-3 A3>,"[0, 5, 6]","[9, 2, 3]",Takemitsu_Romance.mxl,Takemitsu,29,1
42.5,<music21.chord.Chord D3 E-3 C4>,"[0, 2, 3]","[0, 2, 3]",Takemitsu_Romance.mxl,Takemitsu,29,2
43.0,<music21.chord.Chord D3 E-3 C4>,"[0, 2, 3]","[0, 2, 3]",Takemitsu_Romance.mxl,Takemitsu,29,3
43.25,<music21.chord.Chord D3 E-3 G4>,"[0, 1, 5]","[2, 3, 7]",Takemitsu_Romance.mxl,Takemitsu,29,3 1/2
