offset,Chord,NormalForm,PCsInNormalForm,file,Phrase Boundary,Measure Number,Measure Count
15,<music21.chord.Chord B3 D3 G3 D5 B2>,"[0, 4, 7]","[7, 11, 2]",Rhapsody 79 2 G minor.mid,,,
15.375,<music21.chord.Chord D4 D5 B3 D3 G3 B2>,"[0, 4, 7]","[7, 11, 2]",Rhapsody 79 2 G minor.mid,,,
15.625,<music21.chord.Chord D5 B3 D3 G3 D4>,"[0, 4, 7]","[7, 11, 2]",Rhapsody 79 2 G minor.mid,,,
15.70833333,<music21.chord.Chord D5 B3 D3 G3>,"[0, 4, 7]","[7, 11, 2]",Rhapsody 79 2 G minor.mid,,,
15.75,<music21.chord.Chord D5>,[0],[2],Rhapsody 79 2 G minor.mid,,,
16,<music21.chord.Chord B4 G4 D5>,"[0, 4, 7]","[7, 11, 2]",Rhapsody 79 2 G minor.mid,,,
17.5,<music21.chord.Chord F#4 F#2 F#1>,[0],[6],Rhapsody 79 2 G minor.mid,,,
17.875,<music21.chord.Chord F#3 F#4 F#2 F#1>,[0],[6],Rhapsody 79 2 G minor.mid,,,
18.25,<music21.chord.Chord F#4>,[0],[6],Rhapsody 79 2 G minor.mid,,,
18.33333333,<music21.chord.Chord C#4 F#4>,"[0, 5]","[1, 6]",Rhapsody 79 2 G minor.mid,,,
18.625,<music21.chord.Chord C#4>,[0],[1],Rhapsody 79 2 G minor.mid,,,
18.75,<music21.chord.Chord G4 B2 B1 C#4>,"[0, 4, 6]","[7, 11, 1]",Rhapsody 79 2 G minor.mid,,,
18.83333333,<music21.chord.Chord G4 B2 B1>,"[0, 4]","[7, 11]",Rhapsody 79 2 G minor.mid,,,
19.125,<music21.chord.Chord G3 G4 B2>,"[0, 4]","[7, 11]",Rhapsody 79 2 G minor.mid,,,
19.25,<music21.chord.Chord G4 G3>,[0],[7],Rhapsody 79 2 G minor.mid,,,
19.5,<music21.chord.Chord D4 G4>,"[0, 5]","[2, 7]",Rhapsody 79 2 G minor.mid,,,
19.83333333,<music21.chord.Chord G4>,[0],[7],Rhapsody 79 2 G minor.mid,,,
19.875,<music21.chord.Chord B4 G4>,"[0, 4]","[7, 11]",Rhapsody 79 2 G minor.mid,,,
