measureNumber,beatNumber,offset,Chord,NormalForm,PCsInNormalForm,file,Composer
12,1,33.5,<music21.chord.Chord E3 G3 B3 B4>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
12,2,35.0,<music21.chord.Chord E3 A3 C#4 B4>,"[0, 2, 4, 7]","[9, 11, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
12,2 1/3,35.5,<music21.chord.Chord E3 A3 C#4>,"[0, 4, 7]","[9, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
12,2 2/3,36.0,<music21.chord.Chord E3 A3 C#4 B4>,"[0, 2, 4, 7]","[9, 11, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
13,1,36.5,<music21.chord.Chord F3 A3 A4>,"[0, 4]","[5, 9]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
13,1 1/3,37.0,<music21.chord.Chord C5>,[0],[0],Sculthorpe_Sea_Chant.mxl,Sculthorpe
13,1 2/3,37.5,<music21.chord.Chord F4 C5>,"[0, 5]","[0, 5]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
13,2,38.0,<music21.chord.Chord C4 C5>,[0],[0],Sculthorpe_Sea_Chant.mxl,Sculthorpe
13,2 1/3,38.5,<music21.chord.Chord C5>,[0],[0],Sculthorpe_Sea_Chant.mxl,Sculthorpe
13,2 2/3,39.0,<music21.chord.Chord D5>,[0],[2],Sculthorpe_Sea_Chant.mxl,Sculthorpe
14,1,39.5,<music21.chord.Chord E3 B3 G5>,"[0, 3, 7]","[4, 7, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
14,1 1/3,40.0,<music21.chord.Chord E5>,[0],[4],Sculthorpe_Sea_Chant.mxl,Sculthorpe
14,1 2/3,40.5,<music21.chord.Chord E4 E5>,[0],[4],Sculthorpe_Sea_Chant.mxl,Sculthorpe
14,2,41.0,<music21.chord.Chord B3 E5>,"[0, 5]","[11, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
14,2 1/3,41.5,<music21.chord.Chord E5>,[0],[4],Sculthorpe_Sea_Chant.mxl,Sculthorpe
14,2 2/3,42.0,<music21.chord.Chord E5>,[0],[4],Sculthorpe_Sea_Chant.mxl,Sculthorpe
15,1,42.5,<music21.chord.Chord F3 A3 D5>,"[0, 3, 7]","[2, 5, 9]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
15,1 1/3,43.0,<music21.chord.Chord D5>,[0],[2],Sculthorpe_Sea_Chant.mxl,Sculthorpe
15,1 1/2,43.25,<music21.chord.Chord C5>,[0],[0],Sculthorpe_Sea_Chant.mxl,Sculthorpe
15,1 2/3,43.5,<music21.chord.Chord C4 D5>,"[0, 2]","[0, 2]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
15,2,44.0,<music21.chord.Chord A3 C5>,"[0, 3]","[9, 0]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
15,2 1/3,44.5,<music21.chord.Chord C5>,[0],[0],Sculthorpe_Sea_Chant.mxl,Sculthorpe
15,2 1/2,44.75,<music21.chord.Chord B4>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
15,2 2/3,45.0,<music21.chord.Chord C5>,[0],[0],Sculthorpe_Sea_Chant.mxl,Sculthorpe
16,1,45.5,<music21.chord.Chord E3 G#3 B4>,"[0, 4, 7]","[4, 8, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
16,1 1/3,46.0,<music21.chord.Chord B4>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
