offset,Chord,NormalForm,PCsinNormalForm,file,Phrase Boundary,Measure Number,Measure Count
20.5,<music21.chord.Chord E-5 B3 G#3>,"[0, 3, 7]","[8, 11, 3]",Humoresque in B Op101No2 B major.mid,,11,1
20.625,<music21.chord.Chord G#3>,[0],[8],Humoresque in B Op101No2 B major.mid,,11,1
20.666666666666700,<music21.chord.Chord C#5 G#3>,"[0, 5]","[8, 1]",Humoresque in B Op101No2 B major.mid,,11,1
20.75,<music21.chord.Chord C#5 G#4 G#3>,"[0, 5]","[8, 1]",Humoresque in B Op101No2 B major.mid,,11,1
20.791666666666700,<music21.chord.Chord G#3>,[0],[8],Humoresque in B Op101No2 B major.mid,,11,1
20.875,<music21.chord.Chord B4 G#3>,"[0, 3]","[8, 11]",Humoresque in B Op101No2 B major.mid,,11,1
21.0,<music21.chord.Chord B-4 B-3>,[0],[10],Humoresque in B Op101No2 B major.mid,,11,2
21.25,<music21.chord.Chord B-4 F#4 B-3>,"[0, 4]","[6, 10]",Humoresque in B Op101No2 B major.mid,,11,2
21.5,<music21.chord.Chord C#5 C#4 B-3>,"[0, 3]","[10, 1]",Humoresque in B Op101No2 B major.mid,,11,2
21.625,<music21.chord.Chord B-3>,[0],[10],Humoresque in B Op101No2 B major.mid,,11,2
21.666666666666700,<music21.chord.Chord B4 B-3>,"[0, 1]","[10, 11]",Humoresque in B Op101No2 B major.mid,,11,2
21.75,<music21.chord.Chord B4 F#4 B-3>,"[0, 4, 5]","[6, 10, 11]",Humoresque in B Op101No2 B major.mid,,11,2
21.791666666666700,<music21.chord.Chord B-3>,[0],[10],Humoresque in B Op101No2 B major.mid,,11,2
21.875,<music21.chord.Chord B-4 B-3>,[0],[10],Humoresque in B Op101No2 B major.mid,,11,2
22.0,<music21.chord.Chord G#4 E3>,"[0, 4]","[4, 8]",Humoresque in B Op101No2 B major.mid,,12,1
22.25,<music21.chord.Chord G#4 B3 E3>,"[0, 4, 7]","[4, 8, 11]",Humoresque in B Op101No2 B major.mid,,12,1
22.5,<music21.chord.Chord B4 G#3 E3>,"[0, 4, 7]","[4, 8, 11]",Humoresque in B Op101No2 B major.mid,,12,1
22.625,<music21.chord.Chord E3>,[0],[4],Humoresque in B Op101No2 B major.mid,,12,1
22.666666666666700,<music21.chord.Chord B-4 E3>,"[0, 6]","[4, 10]",Humoresque in B Op101No2 B major.mid,,12,1
22.75,<music21.chord.Chord B-4 E4 E3>,"[0, 6]","[4, 10]",Humoresque in B Op101No2 B major.mid,,12,1
22.791666666666700,<music21.chord.Chord E3>,[0],[4],Humoresque in B Op101No2 B major.mid,,12,1
22.875,<music21.chord.Chord G#4 E3>,"[0, 4]","[4, 8]",Humoresque in B Op101No2 B major.mid,,12,1
23.0,<music21.chord.Chord B-4 F#3>,"[0, 4]","[6, 10]",Humoresque in B Op101No2 B major.mid,,12,2
23.25,<music21.chord.Chord B-4 B-3>,[0],[10],Humoresque in B Op101No2 B major.mid,,12,2
23.5,<music21.chord.Chord B-4 E-4>,"[0, 5]","[10, 3]",Humoresque in B Op101No2 B major.mid,,12,2
23.75,<music21.chord.Chord B-4 F#4>,"[0, 4]","[6, 10]",Humoresque in B Op101No2 B major.mid,2,12,2
24.0,<music21.chord.Chord B5 C#6 G#3>,"[0, 3, 5]","[8, 11, 1]",Humoresque in B Op101No2 B major.mid,1,13,1
24.125,<music21.chord.Chord B5 B3>,[0],[11],Humoresque in B Op101No2 B major.mid,,13,1
24.25,<music21.chord.Chord B5>,[0],[11],Humoresque in B Op101No2 B major.mid,,13,1
24.333333333333300,<music21.chord.Chord B5 E-4>,"[0, 4]","[11, 3]",Humoresque in B Op101No2 B major.mid,,13,1
24.458333333333300,<music21.chord.Chord B5>,[0],[11],Humoresque in B Op101No2 B major.mid,,13,1
24.5,<music21.chord.Chord E-6 G#4>,"[0, 5]","[3, 8]",Humoresque in B Op101No2 B major.mid,,13,1
24.666666666666700,<music21.chord.Chord C#6 E-4>,"[0, 2]","[1, 3]",Humoresque in B Op101No2 B major.mid,,13,1
24.875,<music21.chord.Chord B5 G#4>,"[0, 3]","[8, 11]",Humoresque in B Op101No2 B major.mid,,13,1
25.0,<music21.chord.Chord B-5 B5 B-3>,"[0, 1]","[10, 11]",Humoresque in B Op101No2 B major.mid,,13,2
25.125,<music21.chord.Chord B-5 C#4>,"[0, 3]","[10, 1]",Humoresque in B Op101No2 B major.mid,,13,2
25.25,<music21.chord.Chord B-5>,[0],[10],Humoresque in B Op101No2 B major.mid,,13,2
25.333333333333300,<music21.chord.Chord B-5 F#4>,"[0, 4]","[6, 10]",Humoresque in B Op101No2 B major.mid,,13,2
25.458333333333300,<music21.chord.Chord B-5>,[0],[10],Humoresque in B Op101No2 B major.mid,,13,2
25.5,<music21.chord.Chord C#6 B-4>,"[0, 3]","[10, 1]",Humoresque in B Op101No2 B major.mid,,13,2
25.666666666666700,<music21.chord.Chord B5 F#4>,"[0, 5]","[6, 11]",Humoresque in B Op101No2 B major.mid,,13,2
25.875,<music21.chord.Chord B-5 B-4>,[0],[10],Humoresque in B Op101No2 B major.mid,,13,2
26.0,<music21.chord.Chord G#5 B-5 E3>,"[0, 4, 6]","[4, 8, 10]",Humoresque in B Op101No2 B major.mid,,14,1
26.125,<music21.chord.Chord G#5 G#3>,[0],[8],Humoresque in B Op101No2 B major.mid,,14,1
26.25,<music21.chord.Chord G#5>,[0],[8],Humoresque in B Op101No2 B major.mid,,14,1
26.333333333333300,<music21.chord.Chord G#5 B3>,"[0, 3]","[8, 11]",Humoresque in B Op101No2 B major.mid,,14,1
26.458333333333300,<music21.chord.Chord G#5>,[0],[8],Humoresque in B Op101No2 B major.mid,,14,1
26.5,<music21.chord.Chord B5 E4>,"[0, 5]","[11, 4]",Humoresque in B Op101No2 B major.mid,,14,1
26.666666666666700,<music21.chord.Chord B-5 B3>,"[0, 1]","[10, 11]",Humoresque in B Op101No2 B major.mid,,14,1
26.875,<music21.chord.Chord G#5 E4>,"[0, 4]","[4, 8]",Humoresque in B Op101No2 B major.mid,,14,1
27.0,<music21.chord.Chord B-5 F#5 F#3>,"[0, 4]","[6, 10]",Humoresque in B Op101No2 B major.mid,,14,2
27.125,<music21.chord.Chord E-5 B-3>,"[0, 5]","[10, 3]",Humoresque in B Op101No2 B major.mid,,14,2
27.25,<music21.chord.Chord E-5>,[0],[3],Humoresque in B Op101No2 B major.mid,,14,2
27.333333333333300,<music21.chord.Chord E-5 E-4>,[0],[3],Humoresque in B Op101No2 B major.mid,,14,2
27.458333333333300,<music21.chord.Chord E-5>,[0],[3],Humoresque in B Op101No2 B major.mid,,14,2
27.5,<music21.chord.Chord E-5 F#4>,"[0, 3]","[3, 6]",Humoresque in B Op101No2 B major.mid,,14,2
27.625,<music21.chord.Chord E-5>,[0],[3],Humoresque in B Op101No2 B major.mid,,14,2
27.666666666666700,<music21.chord.Chord E-4 E-5>,[0],[3],Humoresque in B Op101No2 B major.mid,,14,2
27.791666666666700,<music21.chord.Chord E-5>,[0],[3],Humoresque in B Op101No2 B major.mid,,14,2
27.875,<music21.chord.Chord E-5 F#4>,"[0, 3]","[3, 6]",Humoresque in B Op101No2 B major.mid,,14,2
28.0,<music21.chord.Chord B5 C#6 G#3>,"[0, 3, 5]","[8, 11, 1]",Humoresque in B Op101No2 B major.mid,,15,1
28.125,<music21.chord.Chord B5 B3>,[0],[11],Humoresque in B Op101No2 B major.mid,,15,1
28.25,<music21.chord.Chord B5>,[0],[11],Humoresque in B Op101No2 B major.mid,,15,1
28.333333333333300,<music21.chord.Chord B5 E-4>,"[0, 4]","[11, 3]",Humoresque in B Op101No2 B major.mid,,15,1
28.458333333333300,<music21.chord.Chord B5>,[0],[11],Humoresque in B Op101No2 B major.mid,,15,1
28.5,<music21.chord.Chord E-6 G#4>,"[0, 5]","[3, 8]",Humoresque in B Op101No2 B major.mid,,15,1
28.666666666666700,<music21.chord.Chord C#6 E-4>,"[0, 2]","[1, 3]",Humoresque in B Op101No2 B major.mid,,15,1
28.875,<music21.chord.Chord B5 G#4>,"[0, 3]","[8, 11]",Humoresque in B Op101No2 B major.mid,,15,1
29.0,<music21.chord.Chord B-5 B5 B-3>,"[0, 1]","[10, 11]",Humoresque in B Op101No2 B major.mid,,15,2
29.125,<music21.chord.Chord B-5 C#4>,"[0, 3]","[10, 1]",Humoresque in B Op101No2 B major.mid,,15,2
29.25,<music21.chord.Chord B-5>,[0],[10],Humoresque in B Op101No2 B major.mid,,15,2
