offset,Chord,NormalForm,PCsinNormalForm,file,PhraseBoundary,MeasureNumber,MeasureCount
57.875,<music21.chord.Chord B5 D5 B4>,"[0, 3]","[11, 2]",Prelude in C#- Op3No2 C#-.mid,,,
58.0,<music21.chord.Chord D4 E4 E5 B5 D5 B4>,"[0, 3, 5]","[11, 2, 4]",Prelude in C#- Op3No2 C#-.mid,,,
58.25,<music21.chord.Chord B5 D5 B4 D4 E4>,"[0, 3, 5]","[11, 2, 4]",Prelude in C#- Op3No2 C#-.mid,,,
58.5,<music21.chord.Chord B5 D5 B4>,"[0, 3]","[11, 2]",Prelude in C#- Op3No2 C#-.mid,,,
58.625,<music21.chord.Chord B5 D5>,"[0, 3]","[11, 2]",Prelude in C#- Op3No2 C#-.mid,,,
59.125,<music21.chord.Chord A5 C#5 E5 A4>,"[0, 4, 7]","[9, 1, 4]",Prelude in C#- Op3No2 C#-.mid,,,
59.25,<music21.chord.Chord C#4 E4 A5 C#5 E5>,"[0, 4, 7]","[9, 1, 4]",Prelude in C#- Op3No2 C#-.mid,,,
59.375,<music21.chord.Chord C#4>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,
60.375,<music21.chord.Chord E4 E3 E2>,[0],[4],Prelude in C#- Op3No2 C#-.mid,,,
60.75,<music21.chord.Chord E4 E3>,[0],[4],Prelude in C#- Op3No2 C#-.mid,,,
60.875,<music21.chord.Chord E4>,[0],[4],Prelude in C#- Op3No2 C#-.mid,,,
61.625,<music21.chord.Chord G#5 B-4 B-3 G#4 C#5>,"[0, 2, 5]","[8, 10, 1]",Prelude in C#- Op3No2 C#-.mid,,,
61.666666666666700,<music21.chord.Chord C#4 G#5 B-4 B-3 G#4 C#5>,"[0, 2, 5]","[8, 10, 1]",Prelude in C#- Op3No2 C#-.mid,,,
61.875,<music21.chord.Chord G#5 G#4 C#5 C#4>,"[0, 5]","[8, 1]",Prelude in C#- Op3No2 C#-.mid,,,
61.958333333333300,<music21.chord.Chord G#5 C#4>,"[0, 5]","[8, 1]",Prelude in C#- Op3No2 C#-.mid,,,
62.041666666666700,<music21.chord.Chord G#5>,[0],[8],Prelude in C#- Op3No2 C#-.mid,,,
62.875,<music21.chord.Chord E-4 E-3>,[0],[3],Prelude in C#- Op3No2 C#-.mid,,,
63.0,<music21.chord.Chord E-2 E-4 E-3>,[0],[3],Prelude in C#- Op3No2 C#-.mid,,,
63.625,<music21.chord.Chord E-4>,[0],[3],Prelude in C#- Op3No2 C#-.mid,,,
