Offset,Chord,Normal Form,PCsinNormalForm,file,Phrase Boundary,Song Count,Measure Number,Measure Count
126.875,<music21.chord.Chord C5>,[0],[0],Children's Corner 113 6 Eb Major.mid,,127,64,1
127.0,<music21.chord.Chord B4 C#5 G#3 B3 F4>,"[0, 3, 6, 8]","[5, 8, 11, 1]",Children's Corner 113 6 Eb Major.mid,,128,64,2
127.375,<music21.chord.Chord D5>,[0],[2],Children's Corner 113 6 Eb Major.mid,,128,64,2
127.5,<music21.chord.Chord B4 E-5 G#3 B3 F4>,"[0, 2, 5, 8]","[3, 5, 8, 11]",Children's Corner 113 6 Eb Major.mid,,128,64,2
129.0,<music21.chord.Chord A3>,[0],[9],Children's Corner 113 6 Eb Major.mid,,130,65,2
130.0,<music21.chord.Chord F4 A3 C#3>,"[0, 4, 8]","[1, 5, 9]",Children's Corner 113 6 Eb Major.mid,,131,66,1
131.5,<music21.chord.Chord E4 A3 C#3>,"[0, 4, 7]","[9, 1, 4]",Children's Corner 113 6 Eb Major.mid,,132,66,2
132.0,<music21.chord.Chord B-3 E-4 F#2 C#3>,"[0, 3, 5, 8]","[10, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,,133,67,1
132.375,<music21.chord.Chord D5 B-3 E-4 C#3 F#2>,"[0, 3, 4, 5, 8]","[10, 1, 2, 3, 6]",Children's Corner 113 6 Eb Major.mid,,133,67,1
132.5,<music21.chord.Chord B-4 E-5 B-3 E-4 C#4 F#4 C#3 F#2>,"[0, 3, 5, 8]","[10, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,,133,67,1
132.625,<music21.chord.Chord B-3 E-4 C#3 F#2>,"[0, 3, 5, 8]","[10, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,,133,67,1
132.875,<music21.chord.Chord C5 B-3 E-4 C#3 F#2>,"[0, 2, 3, 5, 8]","[10, 0, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,,133,67,1
133.0,<music21.chord.Chord B-4 C#5 B-3 E-4 C#4 F#4 C#3 F#2>,"[0, 3, 5, 8]","[10, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,,134,67,2
133.125,<music21.chord.Chord B-3 E-4 C#3 F#2>,"[0, 3, 5, 8]","[10, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,,134,67,2
133.375,<music21.chord.Chord D5 B-3 E-4 C#3 F#2>,"[0, 3, 4, 5, 8]","[10, 1, 2, 3, 6]",Children's Corner 113 6 Eb Major.mid,,134,67,2
133.5,<music21.chord.Chord B-4 E-5 B-3 E-4 C#4 F#4 C#3 F#2>,"[0, 3, 5, 8]","[10, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,,134,67,2
133.625,<music21.chord.Chord B-3 E-4 C#3 F#2>,"[0, 3, 5, 8]","[10, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,,134,67,2
134.375,<music21.chord.Chord D5>,[0],[2],Children's Corner 113 6 Eb Major.mid,,135,68,1
134.5,<music21.chord.Chord B-4 E-5 B-3 C#4 F#4>,"[0, 3, 5, 8]","[10, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,,135,68,1
134.875,<music21.chord.Chord C5>,[0],[0],Children's Corner 113 6 Eb Major.mid,,135,68,1
135.0,<music21.chord.Chord B-4 C#5 B-3 C#4 F#4>,"[0, 4, 7]","[6, 10, 1]",Children's Corner 113 6 Eb Major.mid,,136,68,2
135.375,<music21.chord.Chord D5>,[0],[2],Children's Corner 113 6 Eb Major.mid,,136,68,2
135.5,<music21.chord.Chord B-4 E-5 B-3 C#4 F#4>,"[0, 3, 5, 8]","[10, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,2,136,68,2
137.0,<music21.chord.Chord A4 A3>,[0],[9],Children's Corner 113 6 Eb Major.mid,1,138,69,2
138.0,<music21.chord.Chord F5 F4>,[0],[5],Children's Corner 113 6 Eb Major.mid,,139,70,1
138.5,<music21.chord.Chord G#5 G#4>,[0],[8],Children's Corner 113 6 Eb Major.mid,,139,70,1
139.5,<music21.chord.Chord F#5 F#4>,[0],[6],Children's Corner 113 6 Eb Major.mid,,140,70,2
140.0,<music21.chord.Chord E-5 B-4 C#3>,"[0, 3, 5]","[10, 1, 3]",Children's Corner 113 6 Eb Major.mid,,141,71,1
140.25,<music21.chord.Chord F#5 B-4 C#3>,"[0, 4, 7]","[6, 10, 1]",Children's Corner 113 6 Eb Major.mid,,141,71,1
140.5,<music21.chord.Chord G#4 F#5 F4 G#3 B3 C#3>,"[0, 1, 3, 6, 8]","[5, 6, 8, 11, 1]",Children's Corner 113 6 Eb Major.mid,,141,71,1
140.75,<music21.chord.Chord F5 G#4 C#3 F4 G#3 B3>,"[0, 3, 6, 8]","[5, 8, 11, 1]",Children's Corner 113 6 Eb Major.mid,,141,71,1
141.0,<music21.chord.Chord C#5 F#4 E-4 C#3 G#3 B3>,"[0, 2, 4, 7, 9]","[11, 1, 3, 6, 8]",Children's Corner 113 6 Eb Major.mid,,142,71,2
141.5,<music21.chord.Chord F4 C#5 C#4 C#3 G#3 B3>,"[0, 3, 6, 8]","[5, 8, 11, 1]",Children's Corner 113 6 Eb Major.mid,,142,71,2
142.0,<music21.chord.Chord G#4 E-4 B3 F#3>,"[0, 3, 5, 8]","[3, 6, 8, 11]",Children's Corner 113 6 Eb Major.mid,,143,72,1
142.25,<music21.chord.Chord B4 E-4 B3 F#3>,"[0, 4, 7]","[11, 3, 6]",Children's Corner 113 6 Eb Major.mid,,143,72,1
142.5,<music21.chord.Chord C#4 B4 F3 B3>,"[0, 2, 6]","[11, 1, 5]",Children's Corner 113 6 Eb Major.mid,,143,72,1
142.75,<music21.chord.Chord B-4 C#4 B3 F3>,"[0, 1, 3, 7]","[10, 11, 1, 5]",Children's Corner 113 6 Eb Major.mid,,143,72,1
143.0,<music21.chord.Chord B3 C#4 E-3>,"[0, 2, 4]","[11, 1, 3]",Children's Corner 113 6 Eb Major.mid,,144,72,2
143.5,<music21.chord.Chord B-3 C#4 C#3>,"[0, 3]","[10, 1]",Children's Corner 113 6 Eb Major.mid,,144,72,2
144.0,<music21.chord.Chord B-3 C#4 F#2 C#3>,"[0, 4, 7]","[6, 10, 1]",Children's Corner 113 6 Eb Major.mid,,145,73,1
144.5,<music21.chord.Chord C#4 C#3 F#2>,"[0, 5]","[1, 6]",Children's Corner 113 6 Eb Major.mid,,145,73,1
145.0,<music21.chord.Chord A3 C#4 C#3 F#2>,"[0, 3, 7]","[6, 9, 1]",Children's Corner 113 6 Eb Major.mid,,146,73,2
145.5,<music21.chord.Chord A3 C#4 C#3 F#2>,"[0, 3, 7]","[6, 9, 1]",Children's Corner 113 6 Eb Major.mid,,146,73,2
146.0,<music21.chord.Chord F4 A3 G2 C#3>,"[0, 2, 4, 8]","[5, 7, 9, 1]",Children's Corner 113 6 Eb Major.mid,,147,74,1
146.5,<music21.chord.Chord A3 F4 C#3 G2>,"[0, 2, 4, 8]","[5, 7, 9, 1]",Children's Corner 113 6 Eb Major.mid,,147,74,1
147.0,<music21.chord.Chord B-3 F4 C#3 G2>,"[0, 2, 5, 8]","[5, 7, 10, 1]",Children's Corner 113 6 Eb Major.mid,,148,74,2
147.5,<music21.chord.Chord E4 B-3 C#3 G2>,"[0, 3, 6, 9]","[1, 4, 7, 10]",Children's Corner 113 6 Eb Major.mid,,148,74,2
148.0,<music21.chord.Chord B3 E-4 G#2 C#3>,"[0, 3, 5, 7]","[8, 11, 1, 3]",Children's Corner 113 6 Eb Major.mid,,149,75,1
148.375,<music21.chord.Chord D5 B3 E-4 G#2 C#3>,"[0, 3, 5, 6, 7]","[8, 11, 1, 2, 3]",Children's Corner 113 6 Eb Major.mid,,149,75,1
148.5,<music21.chord.Chord B4 E-5 B3 E-4 G#3 F4 G#2 C#3>,"[0, 2, 4, 6, 9]","[11, 1, 3, 5, 8]",Children's Corner 113 6 Eb Major.mid,,149,75,1
148.625,<music21.chord.Chord B3 E-4 G#2 C#3>,"[0, 3, 5, 7]","[8, 11, 1, 3]",Children's Corner 113 6 Eb Major.mid,,149,75,1
148.875,<music21.chord.Chord C5 B3 E-4 G#2 C#3>,"[0, 3, 4, 5, 7]","[8, 11, 0, 1, 3]",Children's Corner 113 6 Eb Major.mid,,149,75,1
149.0,<music21.chord.Chord B4 C#5 B3 E-4 G#3 F4 G#2 C#3>,"[0, 2, 4, 6, 9]","[11, 1, 3, 5, 8]",Children's Corner 113 6 Eb Major.mid,,150,75,2
149.125,<music21.chord.Chord B3 E-4 G#2 C#3>,"[0, 3, 5, 7]","[8, 11, 1, 3]",Children's Corner 113 6 Eb Major.mid,,150,75,2
149.375,<music21.chord.Chord D5 B3 E-4 G#2 C#3>,"[0, 3, 5, 6, 7]","[8, 11, 1, 2, 3]",Children's Corner 113 6 Eb Major.mid,,150,75,2
149.5,<music21.chord.Chord B4 E-5 B3 E-4 G#3 G#2 C#3>,"[0, 3, 5, 7]","[8, 11, 1, 3]",Children's Corner 113 6 Eb Major.mid,,150,75,2
149.625,<music21.chord.Chord B3 E-4 G#2 C#3>,"[0, 3, 5, 7]","[8, 11, 1, 3]",Children's Corner 113 6 Eb Major.mid,,150,75,2
150.5,<music21.chord.Chord F#3>,[0],[6],Children's Corner 113 6 Eb Major.mid,,151,76,1
151.0,<music21.chord.Chord A3 F3>,"[0, 4]","[5, 9]",Children's Corner 113 6 Eb Major.mid,,152,76,2
151.5,<music21.chord.Chord A3 E-3>,"[0, 6]","[3, 9]",Children's Corner 113 6 Eb Major.mid,,152,76,2
152.0,<music21.chord.Chord F4 A3 E-3>,"[0, 2, 6]","[3, 5, 9]",Children's Corner 113 6 Eb Major.mid,,153,77,1
153.0,<music21.chord.Chord A3 F4 C3>,"[0, 4, 7]","[5, 9, 0]",Children's Corner 113 6 Eb Major.mid,,154,77,2
153.5,<music21.chord.Chord E4 A3 C3>,"[0, 3, 7]","[9, 0, 4]",Children's Corner 113 6 Eb Major.mid,,154,77,2
154.0,<music21.chord.Chord B-3 E-4 F#2 C#3>,"[0, 3, 5, 8]","[10, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,,155,78,1
154.375,<music21.chord.Chord D5 B-3 E-4 F#2 C#3>,"[0, 3, 4, 5, 8]","[10, 1, 2, 3, 6]",Children's Corner 113 6 Eb Major.mid,,155,78,1
154.5,<music21.chord.Chord B-4 E-5 B-3 E-4 C#4 F#4 F#2 C#3>,"[0, 3, 5, 8]","[10, 1, 3, 6]",Children's Corner 113 6 Eb Major.mid,,155,78,1
