offset,Chord,NormalForm,PCsinNormalForm,file,PhraseBoundary,MeasureNumber,MeasureCount
29.0,<music21.chord.Chord B-3 C#4 E4 G#1 G#2 E3>,"[0, 2, 5, 8]","[8, 10, 1, 4]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
29.5,<music21.chord.Chord B-3 C#4 E4 G#1 G#2 E3>,"[0, 2, 5, 8]","[8, 10, 1, 4]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
30.0,<music21.chord.Chord E-3 B-3 C#4 E-4 G1>,"[0, 3, 6, 8]","[7, 10, 1, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
30.125,<music21.chord.Chord E-3 B-3 C#4 E-4 G2 G1>,"[0, 3, 6, 8]","[7, 10, 1, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
30.5,<music21.chord.Chord B-3 C#4 E-4 E-3>,"[0, 3, 5]","[10, 1, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
31.0,<music21.chord.Chord B-3 C#4 E-4 E-3>,"[0, 3, 5]","[10, 1, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
31.5,<music21.chord.Chord B-3 C#4 E-4 E-3>,"[0, 3, 5]","[10, 1, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
32.0,<music21.chord.Chord B-3 C#4 E-4 E-3>,"[0, 3, 5]","[10, 1, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
32.5,<music21.chord.Chord B-3 C#4 E-4 E-3>,"[0, 3, 5]","[10, 1, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
33.0,<music21.chord.Chord B-3 C#4 E-4 E-3>,"[0, 3, 5]","[10, 1, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
33.5,<music21.chord.Chord B-3 C#4 E-4 E-3>,"[0, 3, 5]","[10, 1, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
34.0,<music21.chord.Chord A5 B-3 C#4 E-4 E-3>,"[0, 1, 4, 6]","[9, 10, 1, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
34.5,<music21.chord.Chord B-5 B-3 C#4 E-4 E-3>,"[0, 3, 5]","[10, 1, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
35.0,<music21.chord.Chord E-5 E-6 E-3>,[0],[3],Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
35.75,<music21.chord.Chord C#5 C#6 E-3>,"[0, 2]","[1, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
36.0,<music21.chord.Chord C#5 C#6 G#3 G#2>,"[0, 5]","[8, 1]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
36.5,<music21.chord.Chord E-5 G#5 G#3 B3 E-4>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
37.0,<music21.chord.Chord E-5 G#5 G#3 B3 E-4>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
37.5,<music21.chord.Chord B4 B5 G#3 B3 E-4>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
38.0,<music21.chord.Chord E-5 G#5 B4 B5 G#3 B3 E-4>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
38.5,<music21.chord.Chord E-5 G#5 B4 B5 G#3 B3 E-4>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
39.0,<music21.chord.Chord E-5 G#5 B4 B5 G#3 B3 E-4>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
39.5,<music21.chord.Chord E-5 G#5 B4 B5>,"[0, 3, 7]","[8, 11, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
40.0,<music21.chord.Chord B4 B5 E-5 G#5 F3 F2>,"[0, 2, 5, 8]","[3, 5, 8, 11]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
