offset,Chord,NormalForm,PCsinNormalForm,file,Phrase Boundary,Measure Number,Measure Count
19.0,<music21.chord.Chord G-1>,[0],[7],25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
23.0,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
23.75,<music21.chord.Chord F#4 G-1>,"[0, 1]","[6, 7]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
24.0,<music21.chord.Chord A4 G-1>,"[0, 2]","[7, 9]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
24.5,<music21.chord.Chord G#4 G-1>,"[0, 1]","[7, 8]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
25.0,<music21.chord.Chord F#4 G-1>,"[0, 1]","[6, 7]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
25.5,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
26.0,<music21.chord.Chord F#4 G-1>,"[0, 1]","[6, 7]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
26.5,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
27.0,<music21.chord.Chord E-4 G-1>,"[0, 4]","[3, 7]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
27.5,<music21.chord.Chord C#4 G-1>,"[0, 6]","[1, 7]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
28.0,<music21.chord.Chord B3 G-1>,"[0, 4]","[7, 11]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
29.0,<music21.chord.Chord E3 G-1>,"[0, 3]","[4, 7]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
30.0,<music21.chord.Chord F#3 G-1>,"[0, 1]","[6, 7]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
31.0,<music21.chord.Chord F#3 F#2 G-1>,"[0, 1]","[6, 7]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
32.0,<music21.chord.Chord F#3 B2 G-1>,"[0, 1, 5]","[6, 7, 11]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
35.0,<music21.chord.Chord G-1>,[0],[7],25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
37.0,<music21.chord.Chord E4 G-1>,"[0, 3]","[4, 7]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
38.0,<music21.chord.Chord E-4 G-1>,"[0, 4]","[3, 7]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
39.0,<music21.chord.Chord F#4 G-1>,"[0, 1]","[6, 7]",25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major.mid,,,
