offset,Chord,NormalForm,PCsInNormalForm,file,Phrase Boundary,Song Count,Measure Number,Measure Count
174.125,<music21.chord.Chord G#4 F5 G#5>,"[0, 3]","[5, 8]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,158,,
174.625,<music21.chord.Chord G#4 E-5 G5 G#3>,"[0, 4, 5]","[3, 7, 8]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,159,,
175.125,<music21.chord.Chord G#4 C#5 F5 G#3>,"[0, 4, 7]","[1, 5, 8]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,159,,
175.625,<music21.chord.Chord G#4 B4 E-5 G#3>,"[0, 3, 7]","[8, 11, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,160,,
176.125,<music21.chord.Chord G#4 B-4 C#5 G#3>,"[0, 2, 5]","[8, 10, 1]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,160,,
176.625,<music21.chord.Chord E-4 G#4 B4 B-3>,"[0, 2, 3, 7]","[8, 10, 11, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,161,,
177.125,<music21.chord.Chord E-4 B-4 C#5 B-3>,"[0, 3, 5]","[10, 1, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,161,,
177.625,<music21.chord.Chord E-4 B4 E-5 B-3>,"[0, 1, 5]","[10, 11, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,162,,
178.125,<music21.chord.Chord E-4 C#5 F5 B-3>,"[0, 3, 5, 7]","[10, 1, 3, 5]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,162,,
178.625,<music21.chord.Chord E-4 B4 E-5 B3>,"[0, 4]","[11, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,163,,
179.125,<music21.chord.Chord E-4 B-4 C#5 B3>,"[0, 1, 3, 5]","[10, 11, 1, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,163,,
179.625,<music21.chord.Chord E-4 G#4 B4>,"[0, 3, 7]","[8, 11, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,164,,
180.125,<music21.chord.Chord E-4 G4 B-4>,"[0, 4, 7]","[3, 7, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,164,,
180.625,<music21.chord.Chord B3 F4 G#4 E-2>,"[0, 2, 5, 8]","[3, 5, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,165,,
181.125,<music21.chord.Chord B3 G4 B-4 E-2>,"[0, 4, 7, 8]","[3, 7, 10, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,165,,
181.625,<music21.chord.Chord B3 G#4 B4 E-2>,"[0, 3, 7]","[8, 11, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,166,,
182.125,<music21.chord.Chord B3 B-4 C#5 E-2>,"[0, 1, 3, 5]","[10, 11, 1, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,166,,
182.625,<music21.chord.Chord B3 G#4 B4 G#2 E-2>,"[0, 3, 7]","[8, 11, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,167,,
183.125,<music21.chord.Chord B3 G4 B-4 G#2 E-2>,"[0, 1, 3, 4, 8]","[7, 8, 10, 11, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,167,,
183.625,<music21.chord.Chord B3 F4 G#4 G#2 E-2>,"[0, 2, 5, 8]","[3, 5, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,168,,
184.125,<music21.chord.Chord B3 E-4 G4 G#2 E-2>,"[0, 1, 4, 8]","[7, 8, 11, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,168,,
184.625,<music21.chord.Chord G#3 D4 F4 B2 E-2>,"[0, 1, 3, 6, 9]","[2, 3, 5, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,169,,
185.125,<music21.chord.Chord G#3 E-4 G4 B2 E-2>,"[0, 1, 4, 8]","[7, 8, 11, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,169,,
185.625,<music21.chord.Chord G#3 F4 G#4 B2 E-2>,"[0, 2, 5, 8]","[3, 5, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,170,,
186.125,<music21.chord.Chord G#3 G4 B-4 B2 E-2>,"[0, 1, 3, 4, 8]","[7, 8, 10, 11, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,170,,
186.625,<music21.chord.Chord G#3 G4 B-4 B2 E-2>,"[0, 1, 3, 4, 8]","[7, 8, 10, 11, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,171,,
187.125,<music21.chord.Chord G#3 F4 G#4 B2 E-2>,"[0, 2, 5, 8]","[3, 5, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,171,,
187.625,<music21.chord.Chord G#3 E-4 G4 B2 E-2>,"[0, 1, 4, 8]","[7, 8, 11, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,172,,
188.125,<music21.chord.Chord G#3 D4 F4 B2 E-2>,"[0, 1, 3, 6, 9]","[2, 3, 5, 8, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,172,,
188.625,<music21.chord.Chord B-3 E-4 G4 E-2 G2 B-2>,"[0, 4, 7]","[3, 7, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,173,,
189.125,<music21.chord.Chord B-3 F4 G#4 D2 F2 B-2>,"[0, 3, 6, 8]","[2, 5, 8, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,173,,
189.625,<music21.chord.Chord B-3 G4 B-4 C2 E-2 B-2>,"[0, 3, 5, 8]","[7, 10, 0, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,174,,
190.125,<music21.chord.Chord B-3 F4 G#4 D2 F2 B-2>,"[0, 3, 6, 8]","[2, 5, 8, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,174,,
190.625,<music21.chord.Chord B-3 E-4 G4 E-2 G2 B-2>,"[0, 4, 7]","[3, 7, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,175,,
191.125,<music21.chord.Chord B-3 F4 G#4 D2 F2 B-2>,"[0, 3, 6, 8]","[2, 5, 8, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,175,,
191.625,<music21.chord.Chord B-3 G4 B-4 C2 E-2 B-2>,"[0, 3, 5, 8]","[7, 10, 0, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,176,,
192.125,<music21.chord.Chord B-3 F4 G#4 D2 F2 B-2>,"[0, 3, 6, 8]","[2, 5, 8, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,176,,
192.625,<music21.chord.Chord B-3 E-4 G4 E-2 G2 B-2>,"[0, 4, 7]","[3, 7, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,177,,
193.125,<music21.chord.Chord B-3 F4 G#4 D2 F2 B-2>,"[0, 3, 6, 8]","[2, 5, 8, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,177,,
193.625,<music21.chord.Chord B-3 G4 B-4 C2 E-2 B-2>,"[0, 3, 5, 8]","[7, 10, 0, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,178,,
194.125,<music21.chord.Chord B-3 F4 G#4 D2 F2 B-2>,"[0, 3, 6, 8]","[2, 5, 8, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,178,,
194.625,<music21.chord.Chord B-3 E-4 G4 E-2 G2 B-2>,"[0, 4, 7]","[3, 7, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,179,,
195.125,<music21.chord.Chord B-3 F4 G#4 D2 F2 B-2>,"[0, 3, 6, 8]","[2, 5, 8, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,179,,
195.625,<music21.chord.Chord B-3 G4 B-4 C2 E-2 B-2>,"[0, 3, 5, 8]","[7, 10, 0, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,180,,
196.125,<music21.chord.Chord B-3 F4 G#4 D2 F2 B-2>,"[0, 3, 6, 8]","[2, 5, 8, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,180,,
196.625,<music21.chord.Chord B-3 E-4 G4 G2 B-2 E-2>,"[0, 4, 7]","[3, 7, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,181,,
197.125,<music21.chord.Chord B-3 E-4 G4 G2 B-2 E-2>,"[0, 4, 7]","[3, 7, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,181,,
197.625,<music21.chord.Chord B-3 E-4 G4 G2 B-2 E-2>,"[0, 4, 7]","[3, 7, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,182,,
198.125,<music21.chord.Chord B-3 E-4 G4 G2 B-2 E-2>,"[0, 4, 7]","[3, 7, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,182,,
198.625,<music21.chord.Chord G3 E-4 B-4 C#3 E-2>,"[0, 3, 6, 8]","[7, 10, 1, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,183,,
199.125,<music21.chord.Chord G3 E-4 B-4 C#3 E-2>,"[0, 3, 6, 8]","[7, 10, 1, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,183,,
199.625,<music21.chord.Chord G3 E-4 B-4 C#3 E-2>,"[0, 3, 6, 8]","[7, 10, 1, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,184,,
200.125,<music21.chord.Chord G3 E-4 B-4 C#3 E-2>,"[0, 3, 6, 8]","[7, 10, 1, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,184,,
200.625,<music21.chord.Chord G3 E-4 B-4 B2 E-2>,"[0, 4, 7, 8]","[3, 7, 10, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,185,,
201.25,<music21.chord.Chord G3 E-4 B-4 B2 E-2>,"[0, 4, 7, 8]","[3, 7, 10, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,185,,
201.2916667,<music21.chord.Chord G3 E-4 B-4 B2 E-2>,"[0, 4, 7, 8]","[3, 7, 10, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,185,,
201.9166667,<music21.chord.Chord G3 E-4 B-4 B2>,"[0, 4, 7, 8]","[3, 7, 10, 11]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,186,,
202.625,<music21.chord.Chord G#3 E-4 G#4 B2 E-2>,"[0, 3, 7]","[8, 11, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,187,,
203.625,<music21.chord.Chord G#3 E-4 G#4 B2 E-2>,"[0, 3, 7]","[8, 11, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,188,,
204.625,<music21.chord.Chord B-3 E-4 G4 B-2 E-2>,"[0, 4, 7]","[3, 7, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,189,,
205.9583333,<music21.chord.Chord B-3 E-4 G4 B-2>,"[0, 4, 7]","[3, 7, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,190,,
207.25,<music21.chord.Chord B-3 E-4 G4 B-2 E-2>,"[0, 4, 7]","[3, 7, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,191,,
208.5833333,<music21.chord.Chord B-3 E-4 G4 B-2>,"[0, 4, 7]","[3, 7, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,192,,
208.625,<music21.chord.Chord G3 B-3 E-4 G4 E-2 B-2>,"[0, 4, 7]","[3, 7, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,193,,
215.125,<music21.chord.Chord D4>,[0],[2],6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,199,,
215.625,<music21.chord.Chord E-4>,[0],[3],6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,200,,
216.125,<music21.chord.Chord F#4>,[0],[6],6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,200,,
216.625,<music21.chord.Chord G#3>,[0],[8],6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,201,,
217.125,<music21.chord.Chord B3>,[0],[11],6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,201,,
217.625,<music21.chord.Chord F4>,[0],[5],6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,202,,
219.125,<music21.chord.Chord E-4>,[0],[3],6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,203,,
219.3333333,<music21.chord.Chord D4 E-4>,"[0, 1]","[2, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,203,,
219.375,<music21.chord.Chord D4>,[0],[2],6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,203,,
219.625,<music21.chord.Chord E-4>,[0],[3],6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,204,,
220.125,<music21.chord.Chord F#3>,[0],[6],6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,204,,
220.625,<music21.chord.Chord G#3>,[0],[8],6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,205,,
221.625,<music21.chord.Chord A3>,[0],[9],6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,206,,
222.625,<music21.chord.Chord B-3>,[0],[10],6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,207,,
223.125,<music21.chord.Chord F#4 B-3>,"[0, 4]","[6, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,207,,
223.625,<music21.chord.Chord B-4 B-3>,[0],[10],6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,208,,
224.125,<music21.chord.Chord C#5 B-3>,"[0, 3]","[10, 1]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,208,,
224.625,<music21.chord.Chord E-4 C4>,"[0, 3]","[0, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,209,,
225.125,<music21.chord.Chord F#4 B-3>,"[0, 4]","[6, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,209,,
225.625,<music21.chord.Chord C5 A3>,"[0, 3]","[9, 0]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,210,,
226.125,<music21.chord.Chord C5 B-3>,"[0, 2]","[10, 0]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,210,,
226.3333333,<music21.chord.Chord C4 C5 B-3>,"[0, 2]","[10, 0]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,210,,
226.375,<music21.chord.Chord C5 C4>,[0],[0],6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,210,,
226.5833333,<music21.chord.Chord C5>,[0],[0],6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,210,,
226.625,<music21.chord.Chord C5 C#4>,"[0, 1]","[0, 1]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,211,,
227.125,<music21.chord.Chord B-4 C#4>,"[0, 3]","[10, 1]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,211,,
227.3333333,<music21.chord.Chord A4 B-4 C#4>,"[0, 1, 4]","[9, 10, 1]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,211,,
227.375,<music21.chord.Chord A4 C#4>,"[0, 4]","[9, 1]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,211,,
227.5833333,<music21.chord.Chord C#4>,[0],[1],6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,211,,
227.625,<music21.chord.Chord B-4 C#4>,"[0, 3]","[10, 1]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,212,,
