offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,Phrase Bounday,Song Beat Number,Measure Number,Measure Beat Number
237.5,<music21.chord.Chord F5 A4 A3>,"[0, 4]","[5, 9]","[5, 9]",,238,60,2
237.75,<music21.chord.Chord F5 A4 G3>,"[0, 2, 4]","[5, 7, 9]","[5, 7, 9]",,238,60,2
238,<music21.chord.Chord F5 A4 F3>,"[0, 4]","[5, 9]","[5, 9]",,239,60,3
238.25,<music21.chord.Chord F5 A4 G3>,"[0, 2, 4]","[5, 7, 9]","[5, 7, 9]",,239,60,3
238.5,<music21.chord.Chord F5 A4 A3>,"[0, 4]","[5, 9]","[5, 9]",,239,60,3
238.75,<music21.chord.Chord F5 A4 B-3>,"[0, 4, 5]","[5, 9, 10]","[5, 9, 10]",,239,60,3
239,<music21.chord.Chord A5 A4 C4>,"[0, 3]","[9, 0]","[9, 0]",,240,60,4
239.25,<music21.chord.Chord A5 A4 D4>,"[0, 5]","[9, 2]","[9, 2]",,240,60,4
239.5,<music21.chord.Chord A5 A4 E4>,"[0, 5]","[4, 9]","[4, 9]",,240,60,4
239.75,<music21.chord.Chord A5 A4 F4>,"[0, 4]","[5, 9]","[5, 9]",,240,60,4
239.875,<music21.chord.Chord F4>,[0],[5],[5],,240,60,4
240,<music21.chord.Chord G4 B4 G3>,"[0, 4]","[7, 11]","[7, 11]",,241,61,1
240.25,<music21.chord.Chord A3>,[0],[9],[9],,241,61,1
240.5,<music21.chord.Chord B3>,[0],[11],[11],,241,61,1
240.75,<music21.chord.Chord C4>,[0],[0],[0],,241,61,1
241,<music21.chord.Chord D4>,[0],[2],[2],,242,61,2
241.25,<music21.chord.Chord C4>,[0],[0],[0],,242,61,2
241.5,<music21.chord.Chord B3>,[0],[11],[11],,242,61,2
241.75,<music21.chord.Chord A3>,[0],[9],[9],,242,61,2
242,<music21.chord.Chord G3>,[0],[7],[7],,243,61,3
242.25,<music21.chord.Chord A3>,[0],[9],[9],,243,61,3
242.5,<music21.chord.Chord B3>,[0],[11],[11],,243,61,3
242.75,<music21.chord.Chord C4>,[0],[0],[0],,243,61,3
243,<music21.chord.Chord B4 D5 D4>,"[0, 3]","[11, 2]","[11, 2]",,244,61,4
243.25,<music21.chord.Chord C4>,[0],[0],[0],,244,61,4
243.5,<music21.chord.Chord B3>,[0],[11],[11],,244,61,4
243.75,<music21.chord.Chord A3>,[0],[9],[9],,244,61,4
244,<music21.chord.Chord B4 G5 G3>,"[0, 4]","[7, 11]","[7, 11]",,245,62,1
244.25,<music21.chord.Chord A3>,[0],[9],[9],,245,62,1
244.5,<music21.chord.Chord B3>,[0],[11],[11],,245,62,1
244.75,<music21.chord.Chord C4>,[0],[0],[0],,245,62,1
245,<music21.chord.Chord G5 B4 D4>,"[0, 4, 7]","[7, 11, 2]","[7, 11, 2]",,246,62,2
245.25,<music21.chord.Chord G5 B4 C4>,"[0, 4, 5]","[7, 11, 0]","[7, 11, 0]",,246,62,2
245.5,<music21.chord.Chord G5 B4 B3>,"[0, 4]","[7, 11]","[7, 11]",,246,62,2
245.75,<music21.chord.Chord G5 B4 A3>,"[0, 2, 4]","[7, 9, 11]","[7, 9, 11]",,246,62,2
246,<music21.chord.Chord G5 B4 G3>,"[0, 4]","[7, 11]","[7, 11]",,247,62,3
246.25,<music21.chord.Chord G5 B4 A3>,"[0, 2, 4]","[7, 9, 11]","[7, 9, 11]",,247,62,3
246.5,<music21.chord.Chord G5 B4 B3>,"[0, 4]","[7, 11]","[7, 11]",,247,62,3
246.75,<music21.chord.Chord G5 B4 C4>,"[0, 4, 5]","[7, 11, 0]","[7, 11, 0]",,247,62,3
247,<music21.chord.Chord F5 B4 D4>,"[0, 3, 6]","[11, 2, 5]","[11, 2, 5]",,248,62,4
247.25,<music21.chord.Chord F5 B4 E4>,"[0, 5, 6]","[11, 4, 5]","[11, 4, 5]",,248,62,4
247.5,<music21.chord.Chord F5 B4 F4>,"[0, 6]","[5, 11]","[5, 11]",,248,62,4
247.75,<music21.chord.Chord F5 B4 G4>,"[0, 2, 6]","[5, 7, 11]","[5, 7, 11]",,248,62,4
248,<music21.chord.Chord E5 C4>,"[0, 4]","[0, 4]","[0, 4]",,249,63,1
248.25,<music21.chord.Chord F5 D4>,"[0, 3]","[2, 5]","[2, 5]",,249,63,1
248.5,<music21.chord.Chord G5 E4>,"[0, 3]","[4, 7]","[4, 7]",,249,63,1
248.75,<music21.chord.Chord A5 F4>,"[0, 4]","[5, 9]","[5, 9]",,249,63,1
249,<music21.chord.Chord B5 G4>,"[0, 4]","[7, 11]","[7, 11]",,250,63,2
249.25,<music21.chord.Chord C6 A4>,"[0, 3]","[9, 0]","[9, 0]",,250,63,2
249.5,<music21.chord.Chord D6 B4>,"[0, 3]","[11, 2]","[11, 2]",,250,63,2
249.75,<music21.chord.Chord E6 C5>,"[0, 4]","[0, 4]","[0, 4]",,250,63,2
250,<music21.chord.Chord D6 G4 B4>,"[0, 4, 7]","[7, 11, 2]","[7, 11, 2]",,251,63,3
250.25,<music21.chord.Chord E6>,[0],[4],[4],,251,63,3
250.5,<music21.chord.Chord D6>,[0],[2],[2],,251,63,3
250.75,<music21.chord.Chord C6>,[0],[0],[0],,251,63,3
251,<music21.chord.Chord B5 B3 G4>,"[0, 4]","[7, 11]","[7, 11]",,252,63,4
251.25,<music21.chord.Chord A5>,[0],[9],[9],,252,63,4
251.5,<music21.chord.Chord G5>,[0],[7],[7],,252,63,4
251.75,<music21.chord.Chord F5>,[0],[5],[5],,252,63,4
252,<music21.chord.Chord E5 C4>,"[0, 4]","[0, 4]","[0, 4]",,253,64,1
252.25,<music21.chord.Chord F5 D4>,"[0, 3]","[2, 5]","[2, 5]",,253,64,1
252.5,<music21.chord.Chord G5 E4>,"[0, 3]","[4, 7]","[4, 7]",,253,64,1
252.75,<music21.chord.Chord A5 F4>,"[0, 4]","[5, 9]","[5, 9]",,253,64,1
253,<music21.chord.Chord B5 G4>,"[0, 4]","[7, 11]","[7, 11]",,254,64,2
253.25,<music21.chord.Chord C6 A4>,"[0, 3]","[9, 0]","[9, 0]",,254,64,2
253.5,<music21.chord.Chord D6 B4>,"[0, 3]","[11, 2]","[11, 2]",,254,64,2
253.75,<music21.chord.Chord E6 C5>,"[0, 4]","[0, 4]","[0, 4]",,254,64,2
254,<music21.chord.Chord D6 G4 B4>,"[0, 4, 7]","[7, 11, 2]","[7, 11, 2]",,255,64,3
254.25,<music21.chord.Chord E6>,[0],[4],[4],,255,64,3
254.5,<music21.chord.Chord D6>,[0],[2],[2],,255,64,3
254.75,<music21.chord.Chord C6>,[0],[0],[0],,255,64,3
255,<music21.chord.Chord B5 B3 G4>,"[0, 4]","[7, 11]","[7, 11]",,256,64,4
255.25,<music21.chord.Chord A5>,[0],[9],[9],,256,64,4
255.5,<music21.chord.Chord G5>,[0],[7],[7],,256,64,4
255.75,<music21.chord.Chord F5>,[0],[5],[5],,256,64,4
256,<music21.chord.Chord E5 C4>,"[0, 4]","[0, 4]","[0, 4]",,257,65,1
256.25,<music21.chord.Chord E4>,[0],[4],[4],,257,65,1
256.5,<music21.chord.Chord D4>,[0],[2],[2],,257,65,1
256.75,<music21.chord.Chord C4>,[0],[0],[0],,257,65,1
257,<music21.chord.Chord D5 G5 B3>,"[0, 4, 7]","[7, 11, 2]","[7, 11, 2]",,258,65,2
257.25,<music21.chord.Chord D4>,[0],[2],[2],,258,65,2
257.5,<music21.chord.Chord C4>,[0],[0],[0],,258,65,2
257.75,<music21.chord.Chord B3>,[0],[11],[11],,258,65,2
258,<music21.chord.Chord C5 A3>,"[0, 3]","[9, 0]","[9, 0]",,259,65,3
258.25,<music21.chord.Chord C4>,[0],[0],[0],,259,65,3
258.5,<music21.chord.Chord B3>,[0],[11],[11],,259,65,3
258.75,<music21.chord.Chord A3>,[0],[9],[9],,259,65,3
259,<music21.chord.Chord B4 E5 G3>,"[0, 3, 7]","[4, 7, 11]","[4, 7, 11]",,260,65,4
259.25,<music21.chord.Chord B3>,[0],[11],[11],,260,65,4
259.5,<music21.chord.Chord A3>,[0],[9],[9],,260,65,4
259.75,<music21.chord.Chord G3>,[0],[7],[7],,260,65,4
260,<music21.chord.Chord A4 F3>,"[0, 4]","[5, 9]","[5, 9]",,261,66,1
260.25,<music21.chord.Chord A3>,[0],[9],[9],,261,66,1
260.5,<music21.chord.Chord G3>,[0],[7],[7],,261,66,1
260.75,<music21.chord.Chord F3>,[0],[5],[5],,261,66,1
261,<music21.chord.Chord G4 C5 E3>,"[0, 4, 7]","[0, 4, 7]","[0, 4, 7]",,262,66,2
261.25,<music21.chord.Chord G3>,[0],[7],[7],,262,66,2
261.5,<music21.chord.Chord F3>,[0],[5],[5],,262,66,2
261.75,<music21.chord.Chord E3>,[0],[4],[4],,262,66,2
262,<music21.chord.Chord F4 D3>,"[0, 3]","[2, 5]","[2, 5]",,263,66,3
262.25,<music21.chord.Chord F3>,[0],[5],[5],,263,66,3
262.5,<music21.chord.Chord E3>,[0],[4],[4],,263,66,3
262.75,<music21.chord.Chord D3>,[0],[2],[2],,263,66,3
263,<music21.chord.Chord E4 A4 C#3>,"[0, 4, 7]","[9, 1, 4]","[9, 1, 4]",,264,66,4
263.25,<music21.chord.Chord E3>,[0],[4],[4],,264,66,4
263.5,<music21.chord.Chord D3>,[0],[2],[2],,264,66,4
263.75,<music21.chord.Chord C#3>,[0],[1],[1],,264,66,4
264,<music21.chord.Chord F4 D3>,"[0, 3]","[2, 5]","[2, 5]",,265,67,1
264.25,<music21.chord.Chord D4>,[0],[2],[2],,265,67,1
264.5,<music21.chord.Chord E4>,[0],[4],[4],,265,67,1
264.75,<music21.chord.Chord F4>,[0],[5],[5],,265,67,1
265,<music21.chord.Chord G4>,[0],[7],[7],,266,67,2
265.25,<music21.chord.Chord A4>,[0],[9],[9],,266,67,2
265.5,<music21.chord.Chord B4>,[0],[11],[11],,266,67,2
265.75,<music21.chord.Chord C#5>,[0],[1],[1],,266,67,2
266,<music21.chord.Chord D5 F2 A2 D3>,"[0, 3, 7]","[2, 5, 9]","[2, 5, 9]",,267,67,3
266.25,<music21.chord.Chord E5>,[0],[4],[4],,267,67,3
266.5,<music21.chord.Chord F5>,[0],[5],[5],,267,67,3
266.75,<music21.chord.Chord G5>,[0],[7],[7],,267,67,3
267,<music21.chord.Chord A5>,[0],[9],[9],,268,67,4
267.25,<music21.chord.Chord E5>,[0],[4],[4],,268,67,4
267.5,<music21.chord.Chord F5>,[0],[5],[5],,268,67,4
267.75,<music21.chord.Chord D5>,[0],[2],[2],,268,67,4
268,<music21.chord.Chord G5 G2 C3 E3>,"[0, 4, 7]","[0, 4, 7]","[0, 4, 7]",,269,68,1
268.25,<music21.chord.Chord E-5>,[0],[3],[3],,269,68,1
268.5,<music21.chord.Chord E5>,[0],[4],[4],,269,68,1
268.75,<music21.chord.Chord C5>,[0],[0],[0],,269,68,1
269,<music21.chord.Chord G5>,[0],[7],[7],,270,68,2
269.25,<music21.chord.Chord E-5>,[0],[3],[3],,270,68,2
269.5,<music21.chord.Chord E5>,[0],[4],[4],,270,68,2
269.75,<music21.chord.Chord C5>,[0],[0],[0],,270,68,2
270,<music21.chord.Chord F5 G2 D3 F3>,"[0, 3, 5]","[2, 5, 7]","[2, 5, 7]",,271,68,3
270.25,<music21.chord.Chord C#5>,[0],[1],[1],,271,68,3
270.5,<music21.chord.Chord D5>,[0],[2],[2],,271,68,3
270.75,<music21.chord.Chord B4>,[0],[11],[11],,271,68,3
271,<music21.chord.Chord F5>,[0],[5],[5],,272,68,4
271.25,<music21.chord.Chord C#5>,[0],[1],[1],,272,68,4
271.5,<music21.chord.Chord D5>,[0],[2],[2],,272,68,4
271.75,<music21.chord.Chord B4>,[0],[11],[11],2,272,68,4
272,<music21.chord.Chord C5 C3>,[0],[0],[0],1,273,69,1
272.25,<music21.chord.Chord D3>,[0],[2],[2],,273,69,1
272.5,<music21.chord.Chord E3>,[0],[4],[4],,273,69,1
272.75,<music21.chord.Chord F3>,[0],[5],[5],,273,69,1
273,<music21.chord.Chord G3>,[0],[7],[7],,274,69,2
273.25,<music21.chord.Chord F3>,[0],[5],[5],,274,69,2
273.5,<music21.chord.Chord E3>,[0],[4],[4],,274,69,2
273.75,<music21.chord.Chord D3>,[0],[2],[2],,274,69,2
274,<music21.chord.Chord C3>,[0],[0],[0],,275,69,3
274.25,<music21.chord.Chord D3>,[0],[2],[2],,275,69,3
274.5,<music21.chord.Chord E3>,[0],[4],[4],,275,69,3
274.75,<music21.chord.Chord F3>,[0],[5],[5],,275,69,3
275,<music21.chord.Chord E4 G4 G3>,"[0, 3]","[4, 7]","[4, 7]",,276,69,4
275.25,<music21.chord.Chord F3>,[0],[5],[5],,276,69,4
275.5,<music21.chord.Chord E3>,[0],[4],[4],,276,69,4
275.75,<music21.chord.Chord D3>,[0],[2],[2],,276,69,4
276,<music21.chord.Chord C4 E4 C3>,"[0, 4]","[0, 4]","[0, 4]",,277,70,1
276.25,<music21.chord.Chord D3>,[0],[2],[2],,277,70,1
276.5,<music21.chord.Chord E3>,[0],[4],[4],,277,70,1
276.75,<music21.chord.Chord F3>,[0],[5],[5],,277,70,1
277,<music21.chord.Chord G3>,[0],[7],[7],,278,70,2
277.25,<music21.chord.Chord F3>,[0],[5],[5],,278,70,2
277.5,<music21.chord.Chord E3>,[0],[4],[4],,278,70,2
277.75,<music21.chord.Chord D3>,[0],[2],[2],,278,70,2
278,<music21.chord.Chord C3>,[0],[0],[0],,279,70,3
278.25,<music21.chord.Chord D3>,[0],[2],[2],,279,70,3
278.5,<music21.chord.Chord E3>,[0],[4],[4],,279,70,3
278.75,<music21.chord.Chord F3>,[0],[5],[5],,279,70,3
279,<music21.chord.Chord E4 G4 G3>,"[0, 3]","[4, 7]","[4, 7]",,280,70,4
279.25,<music21.chord.Chord F3>,[0],[5],[5],,280,70,4
279.5,<music21.chord.Chord E3>,[0],[4],[4],,280,70,4
279.75,<music21.chord.Chord D3>,[0],[2],[2],,280,70,4
280,<music21.chord.Chord C4 E4 C3>,"[0, 4]","[0, 4]","[0, 4]",,281,71,1
282,<music21.chord.Chord C5 E5 G5 C6 C2 E2 G2 C3>,"[0, 4, 7]","[0, 4, 7]","[0, 4, 7]",,283,71,3
